kamu/hack.js: 10:40:38.595 | Batch: 78 - 2     | H       | +15.69ms
kamu/grow.js:   10:40:38.609 | Batch: 78 - 2   |    G    | +9.69ms
kamu/weaken.js:   10:40:38.625 | Batch: 78 - 2 |       W | +5.69ms
kamu/hack.js: 10:40:38.689 | Batch: 78 - 3     | H       | +29.69ms
kamu/grow.js:   10:40:38.690 | Batch: 78 - 3   |    G    | +10.69ms
kamu/weaken.js:   10:40:38.703 | Batch: 78 - 3 |       W | +3.69ms
kamu/hack.js: 10:40:38.750 | Batch: 78 - 4     | H       | +10.69ms
kamu/grow.js:   10:40:38.775 | Batch: 78 - 4   |    G    | +15.69ms
kamu/weaken.js:   10:40:38.785 | Batch: 78 - 4 |       W | +5.69ms
kamu/hack.js: 10:40:38.838 | Batch: 78 - 5     | H       | +18.69ms
kamu/grow.js:   10:40:38.855 | Batch: 78 - 5   |    G    | +15.69ms
kamu/weaken.js:   10:40:38.892 | Batch: 78 - 5 |       W | +32.69ms
kamu/hack.js: 10:40:38.913 | Batch: 78 - 6     | H       | +13.69ms
kamu/grow.js:   10:40:38.928 | Batch: 78 - 6   |    G    | +8.69ms
kamu/weaken.js:   10:40:38.965 | Batch: 78 - 6 |       W | +25.69ms
kamu/hack.js: 10:40:38.989 | Batch: 78 - 7     | H       | +8.69ms
kamu/grow.js:   10:40:39.033 | Batch: 78 - 7   |    G    | +32.69ms
kamu/weaken.js:   10:40:39.058 | Batch: 78 - 7 |       W | +37.69ms
kamu/hack.js: 10:40:39.113 | Batch: 78 - 8     | H       | +52.69ms
kamu/grow.js:   10:40:39.125 | Batch: 78 - 8   |    G    | +44.69ms
kamu/weaken.js:   10:40:39.145 | Batch: 78 - 8 |       W | +44.69ms
kamu/hack.js: 10:40:39.156 | Batch: 78 - 9     | H       | +15.69ms
kamu/grow.js:   10:40:39.188 | Batch: 78 - 9   |    G    | +27.69ms
kamu/weaken.js:   10:40:39.198 | Batch: 78 - 9 |       W | +17.69ms
kamu/hack.js: 10:40:40.886 | Batch: 81 - 0     | H       | +5.69ms
kamu/grow.js:   10:40:40.910 | Batch: 81 - 0   |    G    | +9.69ms
kamu/weaken.js:   10:40:40.926 | Batch: 81 - 0 |       W | +5.69ms
kamu/hack.js: 10:40:40.985 | Batch: 81 - 1     | H       | +24.69ms
kamu/grow.js:   10:40:40.987 | Batch: 81 - 1   |    G    | +6.69ms
kamu/weaken.js:   10:40:41.011 | Batch: 81 - 1 |       W | +10.69ms
kamu/hack.js: 10:40:41.058 | Batch: 81 - 2     | H       | +17.69ms
kamu/grow.js:   10:40:41.084 | Batch: 81 - 2   |    G    | +23.69ms
kamu/weaken.js:   10:40:41.095 | Batch: 81 - 2 |       W | +14.69ms
kamu/hack.js: 10:40:41.141 | Batch: 81 - 3     | H       | +20.69ms
kamu/grow.js:   10:40:41.149 | Batch: 81 - 3   |    G    | +8.69ms
kamu/weaken.js:   10:40:41.187 | Batch: 81 - 3 |       W | +26.69ms
kamu/hack.js: 10:40:41.214 | Batch: 81 - 4     | H       | +12.69ms
kamu/grow.js:   10:40:41.238 | Batch: 81 - 4   |    G    | +16.69ms
kamu/weaken.js:   10:40:41.252 | Batch: 81 - 4 |       W | +10.69ms
kamu/hack.js: 10:40:41.296 | Batch: 81 - 5     | H       | +14.69ms
kamu/grow.js:   10:40:41.311 | Batch: 81 - 5   |    G    | +9.69ms
kamu/weaken.js:   10:40:41.327 | Batch: 81 - 5 |       W | +5.69ms
kamu/hack.js: 10:40:41.392 | Batch: 81 - 6     | H       | +30.69ms
kamu/grow.js:   10:40:41.393 | Batch: 81 - 6   |    G    | +11.69ms
kamu/weaken.js:   10:40:41.407 | Batch: 81 - 6 |       W | +5.69ms
kamu/hack.js: 10:40:41.445 | Batch: 81 - 7     | H       | +3.69ms
kamu/grow.js:   10:40:41.481 | Batch: 81 - 7   |    G    | +19.69ms
kamu/weaken.js:   10:40:41.499 | Batch: 81 - 7 |       W | +17.69ms
kamu/hack.js: 10:40:41.543 | Batch: 81 - 8     | H       | +21.69ms
kamu/grow.js:   10:40:41.561 | Batch: 81 - 8   |    G    | +19.69ms
kamu/weaken.js:   10:40:41.605 | Batch: 81 - 8 |       W | +43.69ms
kamu/hack.js: 10:40:41.625 | Batch: 81 - 9     | H       | +23.69ms
kamu/grow.js:   10:40:41.642 | Batch: 81 - 9   |    G    | +20.69ms
kamu/weaken.js:   10:40:41.642 | Batch: 81 - 9 |       W | +0.69ms
kamu/hack.js: 10:40:46.632 | Batch: 88 - 0     | H       | +7.69ms
kamu/grow.js:   10:40:46.659 | Batch: 88 - 0   |    G    | +14.69ms
kamu/weaken.js:   10:40:46.686 | Batch: 88 - 0 |       W | +21.69ms
kamu/hack.js: 10:40:46.735 | Batch: 88 - 1     | H       | +30.69ms
kamu/grow.js:   10:40:46.739 | Batch: 88 - 1   |    G    | +14.69ms
kamu/weaken.js:   10:40:46.755 | Batch: 88 - 1 |       W | +10.69ms
kamu/hack.js: 10:40:46.792 | Batch: 88 - 2     | H       | +7.69ms
kamu/grow.js:   10:40:46.826 | Batch: 88 - 2   |    G    | +21.69ms
kamu/weaken.js:   10:40:46.839 | Batch: 88 - 2 |       W | +14.69ms
kamu/hack.js: 10:40:46.889 | Batch: 88 - 3     | H       | +24.69ms
kamu/grow.js:   10:40:46.902 | Batch: 88 - 3   |    G    | +17.69ms
kamu/weaken.js:   10:40:46.931 | Batch: 88 - 3 |       W | +26.69ms
kamu/hack.js: 10:40:46.969 | Batch: 88 - 4     | H       | +24.69ms
kamu/grow.js:   10:40:46.993 | Batch: 88 - 4   |    G    | +28.69ms
kamu/weaken.js:   10:40:47.014 | Batch: 88 - 4 |       W | +29.69ms
kamu/hack.js: 10:40:47.070 | Batch: 88 - 5     | H       | +45.69ms
kamu/grow.js:   10:40:47.087 | Batch: 88 - 5   |    G    | +42.69ms
kamu/weaken.js:   10:40:47.102 | Batch: 88 - 5 |       W | +37.69ms
kamu/hack.js: 10:40:47.134 | Batch: 88 - 6     | H       | +28.69ms
kamu/grow.js:   10:40:47.150 | Batch: 88 - 6   |    G    | +24.69ms
kamu/weaken.js:   10:40:47.161 | Batch: 88 - 6 |       W | +15.69ms
kamu/hack.js: 10:40:47.209 | Batch: 88 - 7     | H       | +23.69ms
kamu/grow.js:   10:40:47.239 | Batch: 88 - 7   |    G    | +33.69ms
kamu/weaken.js:   10:40:47.254 | Batch: 88 - 7 |       W | +28.69ms
kamu/hack.js: 10:40:47.303 | Batch: 88 - 8     | H       | +37.69ms
kamu/grow.js:   10:40:47.306 | Batch: 88 - 8   |    G    | +20.69ms
kamu/weaken.js:   10:40:47.357 | Batch: 88 - 8 |       W | +51.69ms
kamu/hack.js: 10:40:47.393 | Batch: 88 - 9     | H       | +47.69ms
kamu/grow.js:   10:40:47.415 | Batch: 88 - 9   |    G    | +49.69ms
kamu/weaken.js:   10:40:47.427 | Batch: 88 - 9 |       W | +41.69ms
kamu/hack.js: 10:40:47.457 | Batch: 89 - 0     | H       | +16.69ms
kamu/grow.js:   10:40:47.493 | Batch: 89 - 0   |    G    | +32.69ms
kamu/weaken.js:   10:40:47.517 | Batch: 89 - 0 |       W | +36.69ms
kamu/hack.js: 10:40:47.556 | Batch: 89 - 1     | H       | +35.69ms
kamu/grow.js:   10:40:47.558 | Batch: 89 - 1   |    G    | +17.69ms
kamu/weaken.js:   10:40:47.594 | Batch: 89 - 1 |       W | +33.69ms
kamu/hack.js: 10:40:47.633 | Batch: 89 - 2     | H       | +32.69ms
kamu/grow.js:   10:40:47.670 | Batch: 89 - 2   |    G    | +49.69ms
kamu/weaken.js:   10:40:47.679 | Batch: 89 - 2 |       W | +38.69ms
kamu/hack.js: 10:40:47.719 | Batch: 89 - 3     | H       | +38.69ms
kamu/grow.js:   10:40:47.752 | Batch: 89 - 3   |    G    | +51.69ms
kamu/weaken.js:   10:40:47.770 | Batch: 89 - 3 |       W | +49.69ms
kamu/hack.js: 10:40:47.788 | Batch: 89 - 4     | H       | +27.69ms
