kamu/hack.js: 18:29:50.353 | Batch: 4263 - 2     | H       | +32.02ms
kamu/grow.js:   18:29:50.409 | Batch: 4263 - 2   |    G    | +68.02ms
kamu/weaken.js:   18:29:50.421 | Batch: 4263 - 2 |       W | +60.02ms
kamu/hack.js: 18:29:50.421 | Batch: 4263 - 3     | H       | +20.02ms
kamu/grow.js:   18:29:50.473 | Batch: 4263 - 3   |    G    | +52.02ms
kamu/weaken.js:   18:29:50.499 | Batch: 4263 - 3 |       W | +58.02ms
kamu/hack.js: 18:29:50.499 | Batch: 4263 - 4     | H       | +18.02ms
kamu/grow.js:   18:29:50.551 | Batch: 4263 - 4   |    G    | +50.02ms
kamu/weaken.js:   18:29:50.574 | Batch: 4263 - 4 |       W | +53.02ms
kamu/hack.js: 18:29:50.576 | Batch: 4263 - 5     | H       | +15.02ms
kamu/grow.js:   18:29:50.625 | Batch: 4263 - 5   |    G    | +44.02ms
kamu/weaken.js:   18:29:50.678 | Batch: 4263 - 5 |       W | +77.02ms
kamu/hack.js: 18:29:50.678 | Batch: 4263 - 6     | H       | +37.02ms
kamu/grow.js:   18:29:50.705 | Batch: 4263 - 6   |    G    | +44.02ms
kamu/weaken.js:   18:29:50.755 | Batch: 4263 - 6 |       W | +74.02ms
kamu/hack.js: 18:29:50.755 | Batch: 4263 - 7     | H       | +34.02ms
kamu/grow.js:   18:29:50.798 | Batch: 4263 - 7   |    G    | +57.02ms
kamu/grow.js:   18:29:50.798 | Batch: 4263 - 7   |    G    | +57.02ms
kamu/grow.js:   18:29:50.798 | Batch: 4263 - 7   |    G    | +57.02ms
kamu/weaken.js:   18:29:50.816 | Batch: 4263 - 7 |       W | +55.02ms
kamu/hack.js: 18:29:51.000 | Batch: 4264 - 0     | H       | +12.02ms
kamu/grow.js:   18:29:51.007 | Batch: 4264 - 0   |    G    | -0.98ms
kamu/weaken.js:   18:29:51.028 | Batch: 4264 - 0 |       W | +0.02ms
kamu/hack.js: 18:29:51.072 | Batch: 4264 - 1     | H       | +4.02ms
kamu/grow.js:   18:29:51.099 | Batch: 4264 - 1   |    G    | +11.02ms
kamu/weaken.js:   18:29:51.108 | Batch: 4264 - 1 |       W | +0.02ms
kamu/hack.js: 18:29:51.150 | Batch: 4264 - 2     | H       | +2.02ms
kamu/grow.js:   18:29:51.169 | Batch: 4264 - 2   |    G    | +1.02ms
kamu/weaken.js:   18:29:51.203 | Batch: 4264 - 2 |       W | +15.02ms
kamu/hack.js: 18:29:51.228 | Batch: 4264 - 3     | H       | +0.02ms
kamu/grow.js:   18:29:51.269 | Batch: 4264 - 3   |    G    | +21.02ms
kamu/weaken.js:   18:29:51.271 | Batch: 4264 - 3 |       W | +3.02ms
kamu/hack.js: 18:29:51.308 | Batch: 4264 - 4     | H       | +0.02ms
kamu/hack.js: 18:29:51.308 | Batch: 4264 - 4     | H       | +0.02ms
kamu/grow.js:   18:29:51.329 | Batch: 4264 - 4   |    G    | +1.02ms
kamu/weaken.js:   18:29:51.348 | Batch: 4264 - 4 |       W | +0.02ms
kamu/hack.js: 18:29:51.411 | Batch: 4264 - 5     | H       | +23.02ms
kamu/grow.js:   18:29:51.415 | Batch: 4264 - 5   |    G    | +7.02ms
kamu/weaken.js:   18:29:51.428 | Batch: 4264 - 5 |       W | +0.02ms
kamu/hack.js: 18:29:51.489 | Batch: 4264 - 6     | H       | +21.02ms
kamu/grow.js:   18:29:51.508 | Batch: 4264 - 6   |    G    | +20.02ms
kamu/weaken.js:   18:29:51.518 | Batch: 4264 - 6 |       W | +10.02ms
kamu/hack.js: 18:29:51.552 | Batch: 4264 - 7     | H       | +4.02ms
kamu/grow.js:   18:29:51.576 | Batch: 4264 - 7   |    G    | +8.02ms
kamu/weaken.js:   18:29:51.606 | Batch: 4264 - 7 |       W | +18.02ms
kamu/hack.js: 18:29:51.631 | Batch: 4264 - 8     | H       | +3.02ms
kamu/grow.js:   18:29:51.677 | Batch: 4264 - 8   |    G    | +29.02ms
kamu/weaken.js:   18:29:51.681 | Batch: 4264 - 8 |       W | +13.02ms
kamu/hack.js: 18:29:51.806 | Batch: 4265 - 0     | H       | +14.02ms
kamu/grow.js:   18:29:51.812 | Batch: 4265 - 0   |    G    | +1.02ms
kamu/weaken.js:   18:29:51.833 | Batch: 4265 - 0 |       W | +1.02ms
kamu/hack.js: 18:29:51.881 | Batch: 4265 - 1     | H       | +9.02ms
kamu/grow.js:   18:29:51.899 | Batch: 4265 - 1   |    G    | +7.02ms
kamu/weaken.js:   18:29:51.913 | Batch: 4265 - 1 |       W | +1.02ms
kamu/hack.js: 18:29:51.953 | Batch: 4265 - 2     | H       | +1.02ms
kamu/grow.js:   18:29:51.976 | Batch: 4265 - 2   |    G    | +4.02ms
kamu/weaken.js:   18:29:52.010 | Batch: 4265 - 2 |       W | +18.02ms
kamu/hack.js: 18:29:52.056 | Batch: 4265 - 3     | H       | +24.02ms
kamu/grow.js:   18:29:52.072 | Batch: 4265 - 3   |    G    | +20.02ms
kamu/weaken.js:   18:29:52.075 | Batch: 4265 - 3 |       W | +3.02ms
kamu/hack.js: 18:29:52.113 | Batch: 4265 - 4     | H       | +1.02ms
kamu/grow.js:   18:29:52.133 | Batch: 4265 - 4   |    G    | +1.02ms
kamu/weaken.js:   18:29:52.153 | Batch: 4265 - 4 |       W | +1.02ms
kamu/hack.js: 18:29:52.202 | Batch: 4265 - 5     | H       | +10.02ms
kamu/grow.js:   18:29:52.213 | Batch: 4265 - 5   |    G    | +1.02ms
kamu/weaken.js:   18:29:52.855 | Batch: 4265 - 5 |       W | +623.02ms
kamu/hack.js: 18:29:52.883 | Batch: 4265 - 6     | H       | +611.02ms
kamu/grow.js:   18:29:52.883 | Batch: 4265 - 6   |    G    | +591.02ms
