kamu/grow.js:   23:47:08.500 | Batch: 273 - 5   |    G    | +153.00ms
kamu/weaken.js:   23:47:08.540 | Batch: 273 - 5 |       W | +173.00ms
kamu/hack.js: 23:47:08.565 | Batch: 273 - 7     | H       | +78.00ms
kamu/grow.js:   23:47:08.584 | Batch: 273 - 6   |    G    | +157.00ms
kamu/weaken.js:   23:47:08.612 | Batch: 273 - 6 |       W | +165.00ms
kamu/hack.js: 23:47:08.632 | Batch: 273 - 8     | H       | +65.00ms
kamu/grow.js:   23:47:08.633 | Batch: 273 - 7   |    G    | +126.00ms
kamu/weaken.js:   23:47:08.663 | Batch: 273 - 7 |       W | +136.00ms
kamu/hack.js: 23:47:08.702 | Batch: 273 - 9     | H       | +55.00ms
kamu/grow.js:   23:47:08.715 | Batch: 273 - 8   |    G    | +128.00ms
kamu/weaken.js:   23:47:08.761 | Batch: 273 - 8 |       W | +154.00ms
kamu/hack.js: 23:47:08.787 | Batch: 274 - 0     | H       | +44.00ms
kamu/grow.js:   23:47:08.805 | Batch: 273 - 9   |    G    | +138.00ms
kamu/grow.js:   23:47:08.810 | Batch: 274 - 0   |    G    | +47.00ms
kamu/weaken.js:   23:47:08.810 | Batch: 274 - 0 |       W | +27.00ms
kamu/weaken.js:   23:47:08.835 | Batch: 273 - 9 |       W | +148.00ms
kamu/hack.js: 23:47:08.848 | Batch: 274 - 1     | H       | +25.00ms
kamu/grow.js:   23:47:08.878 | Batch: 274 - 1   |    G    | +35.00ms
kamu/weaken.js:   23:47:08.901 | Batch: 274 - 1 |       W | +38.00ms
kamu/hack.js: 23:47:08.934 | Batch: 274 - 2     | H       | +31.00ms
kamu/grow.js:   23:47:08.957 | Batch: 274 - 2   |    G    | +34.00ms
kamu/weaken.js:   23:47:08.982 | Batch: 274 - 2 |       W | +39.00ms
kamu/hack.js: 23:47:09.006 | Batch: 274 - 3     | H       | +23.00ms
kamu/grow.js:   23:47:09.042 | Batch: 274 - 3   |    G    | +39.00ms
kamu/weaken.js:   23:47:09.054 | Batch: 274 - 3 |       W | +31.00ms
kamu/hack.js: 23:47:09.096 | Batch: 274 - 4     | H       | +33.00ms
kamu/grow.js:   23:47:09.105 | Batch: 274 - 4   |    G    | +22.00ms
